row;dB_at_idle;dB_at_50kmh;dB_at_80kmh;dB_at_100kmh;dB_at_120kmh;dB_at_140kmh
1785;2014;41.0;56.2;59.6;62.9;66.6
1786;Stationcar;2015;49.7;58.8;61.6;64.4
1787;Stationcar;2015;42.3;56.2;60.6;64.9
1788;2016;44.9;59.8;62.5;65.3;66.2
1789;37.1;51.6;57.9;66.3;68.7;69.872500
1790;TSI;2008;44.1;54.2;62.4;66.5
1791;2008;42.9;52.8;60.7;63.1;66.1
1792;L;2010;44.5;55.4;59.8;62.1
1793;2011;41.3;50.9;58.5;61.4;63.7
1794;43.9;54.1;62.2;66.4;67.6;69.243142
1795;2009;43.1;61.2;64.4;67.1;69.4
1796;2010;47.9;60.4;64.1;66.4;69.5
1797;2011;49.5;61.5;65.1;68.8;69.3
1798;44.8;55.1;63.4;67.8;68.9;70.451801
1799;2012;42.2;58.3;62.6;65.8;69.1
1800;44.7;58.8;64.6;65.4;68.8;71.4nan
1801;42.1;62.2;64.3;66.3;69.2;72.8nan
1802;43.9;61.8;65.5;69.3;70.1;73.7nan
1803;38.9;57.8;61.0;64.3;66.2;69.6nan
1804;46.5;56.8;61.2;65.7;71.7;71.8nan
1805;2008;44.4;63.0;68.1;69.5;71.4
1806;2009;45.4;55.9;64.3;68.6;69.9
1807;2012;46.2;61.6;65.6;66.9;71.1
1808;2014;44.9;60.2;64.6;68.9;71.5
1809;2011;46.2;60.5;61.8;65.3;67.2
1810;42.6;52.4;60.3;63.1;65.6;68.351805
1811;45.1;54.1;59.8;64.8;67.2;69.8nan
1812;2008;47.5;60.1;63.4;65.7;67.4
1813;2009;45.4;55.8;64.2;68.3;69.8
1814;4-Motion;2011;43.8;58.1;62.1;64.1
1815;2011;43.0;53.0;60.9;63.8;66.3
1816;2012;39.4;55.0;59.8;63.2;65.6
1817;43.9;54.6;58.6;60.5;65.6;67.667774
1818;37.9;55.8;59.0;62.2;64.3;67.667770
1819;42.9;57.8;61.5;65.3;67.2;70.670341
1820;34.9;49.5;56.1;64.8;67.2;68.872918
1821;43.1;52.6;58.4;63.8;66.2;68.872916
1822;42.9;53.7;60.3;64.0;66.1;68.241616
1823;TDI;2010;43.1;53.0;61.0;64.7
1824;TDI;2014;41.0;56.2;59.6;62.9
1825;2015;41.0;57.2;60.1;62.9;66.6
1826;52.1;57.6;61.9;63.8;66.2;67.8nan
1827;43.9;54.0;60.0;65.8;68.2;70.8nan
1828;36.1;49.6;56.2;64.3;66.7;68.8nan
1829;44.9;54.5;60.1;65.3;67.7;69.8nan
1830;45.6;61.6;61.8;66.5;70.2;73.251811
1831;41.7;58.7;62.8;66.9;69.4;73.8nan
1832;46.8;62.4;67.5;70.0;72.0;75.2nan
1833;43.9;60.8;64.0;67.3;69.1;72.7nan
1834;39.1;53.1;59.5;67.8;70.2;71.8nan
1835;27.9;46.5;54.6;66.8;69.2;71.8nan
1836;47.0;63.1;68.9;71.3;72.3;76.0nan
1837;44.7;56.0;62.8;67.0;68.3;69.644054
1838;44.6;54.9;63.1;66.4;68.7;71.243605
1839;45.1;61.6;66.1;68.1;70.0;72.143328
1840;44.4;60.6;64.4;67.8;70.1;72.346138
1841;43.6;53.0;56.9;62.2;65.7;68.8nan
1842;43.2;53.1;61.1;65.1;66.4;68.143208
1843;45.7;56.2;64.7;65.2;70.4;76.343696
1844;45.2;55.7;64.0;64.4;69.7;75.747411
1845;2011;43.2;53.2;61.2;64.1;66.6
1846;38.1;55.4;66.2;71.7;76.7;81.846144
1847;2012;43.2;53.1;61.1;63.7;66.5
1848;44.2;57.0;59.5;62.3;65.0;68.660919
1849;44.3;54.5;62.7;66.8;68.1;69.843301
1850;40.1;57.5;61.0;64.0;66.0;70.043938
1851;42.8;52.6;60.5;64.4;65.8;67.644036
1852;2012;42.8;52.7;60.6;63.9;66.0
1853;43.5;52.7;56.4;60.6;64.3;67.260922
1854;45.9;57.8;61.0;63.3;64.3;67.6nan
1855;44.9;56.8;60.5;64.3;66.2;69.6nan
1856;43.4;54.3;58.4;61.2;64.7;68.9nan
1857;42.5;54.8;60.6;63.8;66.2;68.1nan
1858;2012;43.0;52.9;60.8;65.4;66.1
1859;2013;49.7;57.0;61.9;65.2;67.4
1860;Country;2014;39.7;58.6;62.2;65.5
1861;45.1;57.1;62.8;69.3;71.7;72.8nan
1862;46.9;56.5;61.8;66.8;69.2;70.8nan
1863;43.5;62.2;65.4;67.6;68.9;71.443405
1864;44.2;54.4;62.6;66.4;68.0;70.046151
1865;2011;44.5;54.7;62.9;65.5;68.5
1866;48.2;57.5;60.8;62.4;67.5;71.4nan
1867;2012;43.9;54.0;62.1;66.0;67.5
1868;46.7;56.7;62.4;65.1;68.9;71.962457
1869;43.9;54.1;62.2;64.9;67.7;70.943985
1870;43.7;53.8;61.9;64.9;67.4;70.244016
1871;2010;46.0;58.8;61.9;64.3;66.4
1872;2016;46.2;53.8;60.8;63.8;67.4
1873;2017;39.9;57.8;62.0;64.5;66.2
1874;2017;44.6;52.0;57.3;61.2;67.3
1875;43.9;54.0;59.7;65.3;67.7;69.8nan
1876;2008;45.4;54.8;60.5;63.5;67.0
1877;45.4;55.8;64.2;67.4;69.9;72.8nan
1878;42.7;52.6;60.4;63.0;65.8;69.046154
1879;43.3;54.7;61.8;65.5;68.6;71.746155
1880;2011;43.6;53.6;61.6;65.8;67.0
1881;48.9;55.4;58.7;61.6;64.6;67.762528
1882;43.9;56.8;60.0;63.3;66.2;69.667762
1883;46.8;55.6;60.1;62.8;67.1;69.867762
1884;43.6;51.6;56.1;60.6;67.1;67.268877
1885;43.1;52.6;58.2;63.3;65.7;67.871450
1886;43.2;53.2;61.2;65.5;66.5;67.943926
1887;44.1;55.8;61.5;64.2;67.9;70.0nan
1888;42.9;56.8;60.5;64.3;66.2;69.6nan
1889;Engine;2016;37.3;50.3;56.6;60.9
1890;47.9;64.7;65.5;66.3;67.2;70.6nan
1891;39.9;55.8;60.0;64.3;65.2;68.6nan
1892;43.9;53.5;59.1;64.3;66.7;68.8nan
1893;47.1;55.6;60.9;65.3;67.7;69.8nan
1894;;;;;;
